subject,opponent,matchup,side2_count,side3_count,tape_runs,tape_mean,tape_min,tape_max,simulation_runs,simulation_mean,simulation_min,simulation_max,absolute_mean_delta,tape_band_error,wrong_stable_winner,unresolved_runs
elite_genoese_crossbowman,paladin,Elite Genoese Crossbowman vs Paladin,21,12,1,-86.57142857142857,-86.57142857142857,-86.57142857142857,5,-81.14285714285714,-81.14285714285714,-81.14285714285714,5.428571428571431,5.428571428571431,false,0
elite_huskarl,arbalester,Arbalester vs Elite Huskarl,20,21,1,85.71428571428571,85.71428571428571,85.71428571428571,5,83.74149659863946,83.74149659863946,83.74149659863946,1.9727891156462505,1.9727891156462505,false,0
elite_huskarl,champion,Elite Huskarl vs Champion,18,21,1,51.97278911564626,51.97278911564626,51.97278911564626,5,49.30612244897959,40.816326530612244,55.78231292517007,2.6666666666666643,2.6666666666666643,false,0
elite_huskarl,elite_elephant,Elite Huskarl vs Elite Battle Elephant,21,9,1,60.416666666666664,60.416666666666664,60.416666666666664,5,65.20833333333333,61.111111111111114,69.09722222222223,4.791666666666664,4.791666666666664,false,0
elite_huskarl,heavy_cav_archer,Heavy Cavalry Archer vs Elite Huskarl,14,21,1,93.12925170068027,93.12925170068027,93.12925170068027,5,91.0748299319728,90.68027210884354,91.22448979591837,2.0544217687074706,2.0544217687074706,false,0
elite_huskarl,heavy_scorpion,Heavy Scorpion vs Elite Huskarl,10,21,1,76.9047619047619,76.9047619047619,76.9047619047619,5,68.42857142857142,65.23809523809524,71.9047619047619,8.476190476190482,8.476190476190482,false,0
elite_huskarl,paladin,Elite Huskarl vs Paladin,21,11,4,45.68181818181819,27.474747474747474,54.5959595959596,5,51.111111111111114,47.17171717171717,58.13131313131313,5.429292929292927,0,false,0
elite_janissary,arbalester,Elite Janissary vs Arbalester,13,21,4,39.19642857142857,30.595238095238095,49.166666666666664,5,57.21428571428571,53.80952380952381,60.714285714285715,18.01785714285714,8.047619047619044,false,0
elite_janissary,champion,Elite Janissary vs Champion,11,21,1,-58.54545454545455,-58.54545454545455,-58.54545454545455,5,-58.18181818181817,-58.18181818181818,-58.18181818181818,0.36363636363637397,0.36363636363637397,false,0
elite_janissary,elite_elephant,Elite Janissary vs Elite Battle Elephant,21,14,1,-59.19047619047619,-59.19047619047619,-59.19047619047619,5,-44.19047619047619,-44.19047619047619,-44.19047619047619,15,15,false,0
elite_janissary,heavy_cav_archer,Elite Janissary vs Heavy Cavalry Archer,19,21,4,31.071428571428573,29.047619047619047,35.23809523809524,5,27.523809523809526,13.333333333333334,34.285714285714285,3.5476190476190474,1.523809523809522,false,0
elite_janissary,heavy_scorpion,Elite Janissary vs Heavy Scorpion,21,15,4,21.444444444444446,4.333333333333333,49.111111111111114,5,-13.095238095238097,-18.047619047619047,-8.476190476190476,34.539682539682545,17.42857142857143,true,0
elite_janissary,paladin,Elite Janissary vs Paladin,21,17,1,-46.857142857142854,-46.857142857142854,-46.857142857142854,5,-36.666666666666664,-36.666666666666664,-36.666666666666664,10.19047619047619,10.19047619047619,false,0
elite_karambit_warrior,arbalester,Arbalester vs Elite Karambit Warrior,10,21,4,7.25,-8.5,17.857142857142858,100,37.5,37.5,37.5,30.25,19.642857142857142,false,0
elite_karambit_warrior,champion,Elite Karambit Warrior vs Champion,21,12,4,23.69047619047619,10.952380952380953,34.285714285714285,5,32.38095238095238,17.38095238095238,45,8.69047619047619,0,false,0
elite_karambit_warrior,elite_elephant,Elite Karambit Warrior vs Elite Battle Elephant,21,4,4,38.125,33.75,43.125,5,38.46875,34.53125,42.65625,0.34375,0,false,0
elite_karambit_warrior,heavy_cav_archer,Heavy Cavalry Archer vs Elite Karambit Warrior,7,21,4,39.523809523809526,23.333333333333332,51.42857142857143,5,27.809523809523807,20.952380952380953,33.333333333333336,11.714285714285719,0,false,0
elite_karambit_warrior,heavy_scorpion,Heavy Scorpion vs Elite Karambit Warrior,5,21,1,52.38095238095238,52.38095238095238,52.38095238095238,5,69.28571428571429,67.14285714285714,71.19047619047619,16.904761904761912,16.904761904761912,false,0
elite_karambit_warrior,paladin,Elite Karambit Warrior vs Paladin,21,5,4,-21.964285714285715,-28.333333333333332,-6.190476190476191,5,-4.368253968253969,-17.142857142857142,8.88888888888889,17.59603174603175,1.822222222222222,false,0
elite_keshik,arbalester,Arbalester vs Elite Keshik,21,16,1,55.11363636363637,55.11363636363637,55.11363636363637,5,54.31818181818183,54.31818181818182,54.31818181818182,0.7954545454545396,0.7954545454545396,false,0
elite_keshik,champion,Elite Keshik vs Champion,14,21,4,-27.153679653679653,-43.54978354978355,-15.714285714285714,5,7.4693877551020424,-0.47619047619047616,18.367346938775512,34.623067408781694,23.183673469387756,true,0
elite_keshik,elite_elephant,Elite Keshik vs Elite Battle Elephant,21,12,1,49.21875,49.21875,49.21875,5,44.5,32.421875,54.270833333333336,4.71875,4.71875,false,0
elite_keshik,heavy_cav_archer,Heavy Cavalry Archer vs Elite Keshik,19,21,1,65.54112554112554,65.54112554112554,65.54112554112554,5,44.317460317460316,42.19336219336219,47.64790764790765,21.223665223665222,21.223665223665222,false,0
elite_keshik,heavy_scorpion,Heavy Scorpion vs Elite Keshik,13,21,1,87.18614718614718,87.18614718614718,87.18614718614718,5,73.22366522366522,67.56132756132756,75.38239538239539,13.96248196248196,13.96248196248196,false,0
elite_keshik,paladin,Elite Keshik vs Paladin,21,14,4,-21.883116883116887,-38.23953823953824,-9.754689754689755,5,1.0836940836940843,-24.444444444444443,23.015873015873016,22.96681096681097,10.83838383838384,true,0
elite_longbowman,arbalester,Elite Longbowman vs Arbalester,20,21,1,-73.75,-73.75,-73.75,5,-19.125,-25,-12.5,54.625,54.625,false,0
elite_longbowman,champion,Elite Longbowman vs Champion,17,21,1,-83.08823529411765,-83.08823529411765,-83.08823529411765,5,-51.47058823529412,-51.470588235294116,-51.470588235294116,31.61764705882353,31.61764705882353,false,0
elite_longbowman,elite_elephant,Elite Longbowman vs Elite Battle Elephant,21,9,1,54.6875,54.6875,54.6875,5,65.45138888888889,65.45138888888889,65.45138888888889,10.763888888888886,10.763888888888886,false,0
elite_longbowman,heavy_cav_archer,Elite Longbowman vs Heavy Cavalry Archer,21,15,1,-50.714285714285715,-50.714285714285715,-50.714285714285715,5,-29.047619047619047,-34.523809523809526,-24.285714285714285,21.666666666666668,21.666666666666668,false,0
