matchup,ratio,ranged_count,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,wrong_winner_runs,unresolved_runs,archive,zip_sha256
Heavy Scorpion vs Champion,15v20,15,20,28.2,23.857142857142858,35.285714285714285,-89.55555555555556,-89.55555555555556,-89.55555555555556,-117.75555555555556,117.75555555555556,113.41269841269842,0,5,0,aoe2_golden_ranged_scorpionvschampion_2026-08-05.zip,30235D984F503172123DFD2D4D24AB9AB513EE57A29C6825AF2252B7879B6EDB
Heavy Scorpion vs Champion,20v15,20,15,-66.78333333333333,-80.08333333333333,-40.083333333333336,-98.58333333333333,-98.58333333333333,-98.58333333333333,-31.799999999999997,31.799999999999997,18.5,0,0,0,aoe2_golden_ranged_scorpionvschampion_2026-08-05.zip,30235D984F503172123DFD2D4D24AB9AB513EE57A29C6825AF2252B7879B6EDB
Heavy Scorpion vs Champion,20v20,20,20,-53.5,-75.08333333333333,-32.166666666666664,-95,-95,-95,-41.5,41.5,19.91666666666667,0,0,0,aoe2_golden_ranged_scorpionvschampion_2026-08-05.zip,30235D984F503172123DFD2D4D24AB9AB513EE57A29C6825AF2252B7879B6EDB
Heavy Scorpion vs Champion,5v10,5,10,58.68571428571429,43.42857142857143,67.71428571428571,-83,-83,-83,-141.68571428571428,141.68571428571428,126.42857142857143,0,5,0,aoe2_golden_ranged_scorpionvschampion_2026-08-05.zip,30235D984F503172123DFD2D4D24AB9AB513EE57A29C6825AF2252B7879B6EDB
Heavy Scorpion vs Paladin,10v5,10,5,55.28888888888889,50.666666666666664,60,-71.5,-71.5,-71.5,-126.78888888888889,126.78888888888889,122.16666666666666,0,5,0,aoe2_golden_ranged_scorpionvspaladin_2026-08-05.zip,32135C127DE9CB2A07C78E5323C3D13F9671803480F379B6627AAE638750708E
Heavy Scorpion vs Paladin,15v20,15,20,76.71111111111111,66.66666666666667,85.55555555555556,-84.77777777777777,-84.77777777777777,-84.77777777777777,-161.48888888888888,161.48888888888888,151.44444444444446,0,5,0,aoe2_golden_ranged_scorpionvspaladin_2026-08-05.zip,32135C127DE9CB2A07C78E5323C3D13F9671803480F379B6627AAE638750708E
Heavy Scorpion vs Paladin,20v15,20,15,62.16296296296296,55.55555555555556,71.25925925925925,-75.83333333333333,-75.83333333333333,-75.83333333333333,-137.9962962962963,137.9962962962963,131.38888888888889,0,5,0,aoe2_golden_ranged_scorpionvspaladin_2026-08-05.zip,32135C127DE9CB2A07C78E5323C3D13F9671803480F379B6627AAE638750708E
Heavy Scorpion vs Paladin,20v20,20,20,68.11111111111111,56.333333333333336,78.11111111111111,-77.25,-77.25,-77.25,-145.36111111111111,145.36111111111111,133.58333333333334,0,5,0,aoe2_golden_ranged_scorpionvspaladin_2026-08-05.zip,32135C127DE9CB2A07C78E5323C3D13F9671803480F379B6627AAE638750708E
Heavy Scorpion vs Paladin,5v10,5,10,90.66666666666666,88.88888888888889,93.55555555555556,63.55555555555556,63.55555555555556,63.55555555555556,-27.1111111111111,27.1111111111111,25.33333333333333,0,0,0,aoe2_golden_ranged_scorpionvspaladin_2026-08-05.zip,32135C127DE9CB2A07C78E5323C3D13F9671803480F379B6627AAE638750708E
Elite Skirmisher vs Champion,10v5,10,5,47.2,39.42857142857143,51.42857142857143,-2.857142857142857,-2.857142857142857,-2.857142857142857,-50.05714285714286,50.05714285714286,42.285714285714285,0,5,0,aoe2_golden_kiting_eliteskirmvschampion_2026-08-06.zip,974A951AD0E9AE211A0BF40913EF6028187732404C6F8514E637C64B79D54716
